"","X","clicks_yn","AdvertiserId","UserId"
"7102603",7102603,2,12310026,123341
"2871447",2871447,2,12671106,909386
"1077833",1077833,2,12671106,1403672
"2313814",2313814,2,12671106,502805
"1910759",1910759,2,12671106,468114
"5732246",5732246,2,12310026,1281252
"2522328",2522328,2,12671106,1691963
"5120913",5120913,2,12671106,518144
"956909",956909,2,12310026,860843
"2263455",2263455,2,12671106,569260
"6717396",6717396,2,12671106,883439
"6904567",6904567,2,12671106,1155916
"5267807",5267807,2,12671106,1824885
"4529800",4529800,2,12489066,327588
"1779040",1779040,2,12671106,28972
"3881895",3881895,2,12692946,529
"969940",969940,2,12310026,235179
"2492207",2492207,2,12671106,1365136
"15878",15878,2,12578706,153712
"6325359",6325359,2,12671106,521748
"2684192",2684192,2,12310026,313036
"6141966",6141966,2,12310026,819338
"1129741",1129741,2,12671106,1808278
"1335587",1335587,2,12489066,514299
"4202481",4202481,2,12692946,1398342
"4566109",4566109,2,12671106,1780437
"6411783",6411783,2,12692946,1398261
"2224127",2224127,2,12671106,1783334
"7806908",7806908,2,12489066,970306
"75440",75440,2,12692946,567963
"1025190",1025190,2,12489066,1240036
"5468550",5468550,2,12692946,419778
"3803554",3803554,2,12692946,573594
"6037987",6037987,2,12671106,803731
"6414889",6414889,2,12692946,1466270
"6969525",6969525,2,12671106,268478
"1061569",1061569,2,12671106,486424
"2627461",2627461,2,12578706,270330
"6463224",6463224,2,12692946,1643457
"5650168",5650168,2,12692946,1071214
"4194638",4194638,2,12671106,1114701
"4048758",4048758,2,12671106,1011406
"2029488",2029488,2,12671106,1678089
"6984685",6984685,2,12671106,1410297
"5513342",5513342,2,12310026,1063454
"354946",354946,2,12671106,1397355
"1668520",1668520,2,12692946,1003555
"7585544",7585544,2,12692946,688938
"5118287",5118287,2,12578706,626630
"1285064",1285064,2,12489066,960774
"2079201",2079201,2,12671106,1520293
"4608120",4608120,2,12310026,93590
"6940875",6940875,2,12671106,428391
"5753803",5753803,2,12310026,295044
"6266101",6266101,2,12310026,1852756
"6883261",6883261,2,12489066,702437
"4078279",4078279,2,12692946,1763906
"4123835",4123835,2,12671106,906731
"1688166",1688166,2,12692946,1183493
"1570836",1570836,2,12489066,1548166
"6440103",6440103,2,12692946,1335622
"4145054",4145054,2,12310026,1594526
"2385348",2385348,2,12671106,581645
"178090",178090,2,12489066,1082661
"6848228",6848228,2,12310026,1284069
"6776373",6776373,2,12489066,1094579
"2971542",2971542,2,12671106,1870076
"6220740",6220740,2,12310026,1099860
"1166565",1166565,2,12692946,950421
"218685",218685,2,12671106,1105900
"2097635",2097635,2,12671106,1690652
"130659",130659,2,12671106,592707
"3367316",3367316,2,12671106,228401
"4535994",4535994,2,12310026,931200
"6893086",6893086,2,12671106,1327652
"2102520",2102520,2,12671106,421319
"1080301",1080301,2,12692946,1296572
"5014384",5014384,2,12692946,1723183
"1231626",1231626,2,12310026,465619
"4553674",4553674,2,12692946,235039
"6007496",6007496,2,12578706,1630350
"6845278",6845278,2,12578706,969342
"4747839",4747839,2,12692946,8993
"3197951",3197951,2,12671106,1524615
"3206648",3206648,2,12671106,1311920
"5414944",5414944,2,12671106,534412
"2219451",2219451,2,12671106,1114652
"4630360",4630360,2,12489066,233536
"64449",64449,2,12578706,217632
"2793464",2793464,2,12692946,1279044
"2790973",2790973,2,12671106,1229118
"2968713",2968713,2,12692946,637698
"1376000",1376000,2,12692946,486364
"7740235",7740235,2,12310026,1851919
"5543504",5543504,2,12310026,174384
"898918",898918,2,12671106,799634
"268158",268158,2,12671106,304885
"1283968",1283968,2,12310026,278273
"2465715",2465715,2,12671106,408161
"7265382",7265382,2,12310026,1060987
"10402",10402,2,12692946,1853963
"3194497",3194497,2,12671106,165779
"1638363",1638363,2,12671106,563302
"7397219",7397219,2,12489066,185360
"6389013",6389013,2,12671106,31671
"1035172",1035172,2,12671106,1316354
"3603405",3603405,2,12671106,1615510
"4600758",4600758,2,12310026,1145564
"7398759",7398759,2,12310026,211079
"987226",987226,2,12310026,1841032
"207615",207615,2,12671106,1484728
"730536",730536,2,12692946,432315
"3754349",3754349,2,12671106,1141635
"5059805",5059805,2,12310026,1245638
"4178849",4178849,2,12692946,1466283
"7422101",7422101,2,12578706,1653917
"115788",115788,2,12489066,1572449
"1148960",1148960,2,12671106,207391
"1855108",1855108,2,12310026,414931
"7062541",7062541,2,12310026,359097
"3508017",3508017,2,12671106,777631
"1520218",1520218,2,12692946,398133
"6746748",6746748,2,12310026,1088017
"2919744",2919744,2,12671106,194933
"5779901",5779901,2,12578706,114748
"5018761",5018761,2,12489066,784586
"7331085",7331085,2,12310026,1048976
"290559",290559,2,12671106,461819
"6338492",6338492,2,12489066,1607291
"666952",666952,2,12489066,410263
"5674569",5674569,2,12692946,87467
"7767459",7767459,2,12489066,1295687
"1925874",1925874,2,12671106,1485910
"6118842",6118842,2,12692946,1625421
"7211689",7211689,2,12310026,1454110
"2621628",2621628,2,12578706,1514189
"3198188",3198188,2,12671106,612650
"2493400",2493400,2,12671106,401202
"229421",229421,2,12671106,987718
"1223553",1223553,2,12692946,1670006
"5427864",5427864,2,12578706,1427128
"3930631",3930631,2,12671106,935881
"5336937",5336937,2,12671106,811964
"5451750",5451750,2,12692946,707103
"4408783",4408783,2,12310026,962132
"7473391",7473391,2,12671106,83955
"6713154",6713154,2,12671106,1592096
"7211438",7211438,2,12692946,1188266
"116970",116970,2,12692946,1113550
"4868936",4868936,2,12671106,1723564
"1759299",1759299,2,12310026,958329
"7210846",7210846,2,12692946,931693
"372114",372114,2,12671106,1539460
"1238290",1238290,2,12310026,1073165
"5768709",5768709,2,12578706,334711
"7707710",7707710,2,12671106,71830
"4475973",4475973,2,12671106,806633
"6803731",6803731,2,12692946,1023461
"6624898",6624898,2,12489066,874296
"6906935",6906935,2,12671106,1552970
"7760534",7760534,2,12310026,813432
"7011030",7011030,2,12671106,1133140
"402377",402377,2,12671106,1269549
"5319328",5319328,2,12671106,809809
"3165835",3165835,2,12671106,274455
"74407",74407,2,12692946,226786
"600456",600456,2,12310026,1491856
"1435255",1435255,2,12578706,734243
"1688593",1688593,2,12671106,1436419
"6845593",6845593,2,12692946,1093381
"1277723",1277723,2,12671106,184737
"7168757",7168757,2,12310026,780739
"2401764",2401764,2,12671106,551681
"6755820",6755820,2,12310026,229871
"6514513",6514513,2,12310026,1233452
"4582970",4582970,2,12489066,1854551
"7811608",7811608,2,12310026,1726182
"1627286",1627286,2,12671106,244842
"3568876",3568876,2,12671106,824313
"5889336",5889336,2,12692946,669997
"7179708",7179708,2,12692946,1566503
"5859339",5859339,2,12671106,1358264
"1904396",1904396,2,12671106,239283
"2815669",2815669,2,12671106,1601246
"7682756",7682756,2,12489066,774589
"4858533",4858533,2,12671106,1838071
"1927078",1927078,2,12671106,931995
"7261171",7261171,2,12578706,1833994
"212730",212730,2,12671106,1705137
"6379906",6379906,2,12489066,1635966
"7309131",7309131,2,12671106,1673090
"7258024",7258024,2,12692946,738677
"1532157",1532157,2,12578706,1413543
"3664217",3664217,2,12671106,783881
"4019342",4019342,2,12671106,1214515
"699586",699586,2,12489066,683345
"1165998",1165998,2,12310026,1290714
"2473152",2473152,2,12671106,845198
"1055799",1055799,2,12671106,175697
"1723638",1723638,2,12671106,1836550
"5018200",5018200,2,12310026,970121
"2400233",2400233,2,12578706,741940
"2147405",2147405,2,12671106,374397
"578521",578521,2,12692946,218107
"5477128",5477128,2,12692946,94082
"804646",804646,2,12489066,1440884
"5685241",5685241,2,12692946,1237674
"34210",34210,2,12310026,500276
"7432528",7432528,2,12692946,204004
"3093730",3093730,2,12489066,1253775
"3972992",3972992,2,12671106,1829380
"347097",347097,2,12489066,412541
"2565641",2565641,2,12310026,1859492
"3587306",3587306,2,12671106,174122
"6359927",6359927,2,12310026,1312396
"3165692",3165692,2,12671106,726107
"5125130",5125130,2,12671106,1018350
"5401845",5401845,2,12489066,580439
"4400737",4400737,2,12692946,680114
"1779751",1779751,2,12489066,973643
"6225579",6225579,2,12489066,574927
"6375849",6375849,2,12310026,1079764
"5218639",5218639,2,12671106,1071405
"1596116",1596116,2,12489066,507841
"5241174",5241174,2,12671106,1384991
"7797630",7797630,2,12310026,198666
"5332822",5332822,2,12692946,815866
"3752856",3752856,2,12671106,1528768
"7554657",7554657,2,12671106,1574867
"307648",307648,2,12671106,247974
"2895812",2895812,2,12671106,1250293
"427411",427411,2,12671106,337422
"887526",887526,2,12578706,1176245
"447766",447766,2,12671106,763559
"964748",964748,2,12671106,88184
"4263310",4263310,2,12692946,989561
"2883207",2883207,2,12671106,1872353
"1939652",1939652,2,12671106,1426045
"4781480",4781480,2,12671106,1830113
"555957",555957,2,12671106,876512
"4093455",4093455,2,12692946,1667082
"2353309",2353309,2,12671106,768104
"1764435",1764435,2,12671106,1530623
"6501873",6501873,2,12671106,27275
"3319786",3319786,2,12671106,1365552
"5086358",5086358,2,12489066,4318
"6086304",6086304,2,12671106,611243
"5150661",5150661,2,12310026,1155235
"3267317",3267317,2,12692946,1368310
"7251667",7251667,2,12578706,145165
"6801798",6801798,2,12671106,1110709
"3155441",3155441,2,12671106,1321642
"4436426",4436426,2,12671106,741483
"5487005",5487005,2,12692946,521348
"999602",999602,2,12578706,1578935
"6049339",6049339,2,12671106,1242450
"2540350",2540350,2,12692946,1263134
"2970315",2970315,2,12671106,653275
"2213276",2213276,2,12671106,1089701
"6934240",6934240,2,12671106,1291091
"5109808",5109808,2,12671106,758269
"6097194",6097194,2,12671106,1808497
"4381040",4381040,2,12489066,316475
"7639495",7639495,2,12310026,1383283
"1735740",1735740,2,12578706,18117
"2208380",2208380,2,12671106,1789967
"3208046",3208046,2,12671106,1352744
"5030197",5030197,2,12310026,1444725
"6059138",6059138,2,12671106,206391
"2925535",2925535,2,12671106,200048
"6600525",6600525,2,12489066,1000427
"6805707",6805707,2,12489066,510356
"7569548",7569548,2,12310026,610797
"7007313",7007313,2,12671106,1386112
"6428305",6428305,2,12310026,1011491
"1070479",1070479,2,12671106,1489447
"3485905",3485905,2,12671106,1333177
"7091446",7091446,2,12310026,1792376
"7321619",7321619,2,12671106,16689
"7743370",7743370,2,12692946,1198429
"180818",180818,2,12489066,878229
"6821739",6821739,2,12310026,1580666
"3472831",3472831,2,12671106,1227011
"7196453",7196453,2,12692946,868728
"7732711",7732711,2,12671106,665807
"1708221",1708221,2,12671106,986371
"7598144",7598144,2,12692946,618484
"1894207",1894207,2,12671106,731462
"6593536",6593536,2,12671106,809367
"2688480",2688480,2,12310026,1740148
"5466476",5466476,2,12310026,1846046
"3021875",3021875,2,12671106,607663
"5438438",5438438,2,12489066,100118
"1270513",1270513,2,12310026,1022572
"4853712",4853712,2,12578706,1519292
"1240170",1240170,2,12671106,815800
"5649107",5649107,2,12692946,420038
"686424",686424,2,12671106,372179
"4211585",4211585,2,12489066,49277
"6309442",6309442,2,12692946,42778
"3913661",3913661,2,12671106,272778
"3246871",3246871,2,12671106,172819
"4440006",4440006,2,12578706,1742227
"3939957",3939957,2,12671106,278214
"2588977",2588977,2,12310026,1063651
"554156",554156,2,12671106,1509526
"3839824",3839824,2,12671106,1117718
"135658",135658,2,12310026,531993
"1740816",1740816,2,12489066,579044
"609679",609679,2,12578706,1400014
"3149847",3149847,2,12671106,958672
"6110026",6110026,2,12671106,1220219
"316024",316024,2,12671106,3463
"7009635",7009635,2,12671106,1618191
"476166",476166,2,12671106,1632474
"985920",985920,2,12578706,1010798
"6017498",6017498,2,12310026,1095569
"1014832",1014832,2,12671106,567942
"6827312",6827312,2,12310026,1557831
"6109828",6109828,2,12489066,95154
"3711891",3711891,2,12671106,901216
"1370043",1370043,2,12671106,1152318
"5491321",5491321,2,12310026,907198
"5705002",5705002,2,12692946,295383
"1000491",1000491,2,12578706,1455024
"3528618",3528618,2,12671106,206159
"4372492",4372492,2,12692946,197687
"7666630",7666630,2,12692946,1863464
"5055335",5055335,2,12692946,83363
"5564830",5564830,2,12671106,455117
"7597104",7597104,2,12692946,1424978
"834449",834449,2,12671106,456304
"2236241",2236241,2,12671106,209407
"7747204",7747204,2,12671106,560915
"7590644",7590644,2,12692946,1139483
"3471048",3471048,2,12671106,251257
"6948965",6948965,2,12671106,18932
"2428057",2428057,2,12692946,327731
"4815442",4815442,2,12671106,287891
"6018076",6018076,2,12310026,1169982
"5089853",5089853,2,12489066,1209157
"7281528",7281528,2,12578706,775463
"1640970",1640970,2,12578706,385643
"3197788",3197788,2,12671106,465679
"3661587",3661587,2,12671106,1523600
"5399141",5399141,2,12671106,1092489
"2167015",2167015,2,12671106,1109126
"4086690",4086690,2,12692946,1264826
"5991186",5991186,2,12692946,1181839
"4619426",4619426,2,12692946,618333
"610805",610805,2,12671106,314484
"4401157",4401157,2,12692946,572081
"4059277",4059277,2,12489066,1237387
"3111057",3111057,2,12671106,1630283
"4767315",4767315,2,12671106,782599
"4956518",4956518,2,12489066,504390
"7007108",7007108,2,12671106,1697439
"5740776",5740776,2,12692946,1366357
"6812632",6812632,2,12310026,631510
"2441335",2441335,2,12671106,1468430
"7052655",7052655,2,12578706,643014
"2219247",2219247,2,12671106,313408
"5081524",5081524,2,12692946,795704
"1454377",1454377,2,12692946,574060
"7470839",7470839,2,12671106,465381
"7151826",7151826,2,12489066,1786902
"1471858",1471858,2,12692946,629398
"7739832",7739832,2,12692946,238132
"5306005",5306005,2,12310026,909035
"779014",779014,2,12489066,140878
"5821718",5821718,2,12671106,1131915
"2905662",2905662,2,12671106,1323095
"2674546",2674546,2,12692946,1263580
"359867",359867,2,12671106,1323888
"79381",79381,2,12671106,605504
"2344966",2344966,2,12671106,63436
"5783131",5783131,2,12578706,873031
"3780074",3780074,2,12578706,1649601
"4866606",4866606,2,12692946,1244041
"3138956",3138956,2,12671106,1790502
"208505",208505,2,12671106,1831702
"1429071",1429071,2,12310026,385653
"2767163",2767163,2,12692946,1468399
"1600243",1600243,2,12671106,1221905
"2524662",2524662,2,12671106,203670
"1069368",1069368,2,12671106,1507406
"2856760",2856760,2,12671106,748760
"6580575",6580575,2,12578706,1339415
"7001813",7001813,2,12671106,26770
"4804218",4804218,2,12489066,369596
"7111198",7111198,2,12671106,1833299
"5071907",5071907,2,12578706,1275010
"1590535",1590535,2,12310026,752616
"6631040",6631040,2,12578706,1016151
"6482050",6482050,2,12310026,1366763
"5517647",5517647,2,12692946,17417
"4223682",4223682,2,12578706,955671
"6727064",6727064,2,12692946,381159
"3362867",3362867,2,12671106,1294015
"2070321",2070321,2,12671106,1662868
"3149913",3149913,2,12671106,1769664
"705237",705237,2,12310026,807634
"7576879",7576879,2,12671106,776908
"872836",872836,2,12671106,71012
"3927462",3927462,2,12671106,306662
"3999002",3999002,2,12692946,267409
"1384210",1384210,2,12692946,475851
"3885645",3885645,2,12671106,929683
"96590",96590,2,12671106,1591475
"4545181",4545181,2,12671106,917795
"545667",545667,2,12671106,323015
"5174850",5174850,2,12671106,19066
"1033881",1033881,2,12578706,567396
"5974118",5974118,2,12692946,813163
"5516653",5516653,2,12692946,17417
"4149578",4149578,2,12692946,1341941
"2542995",2542995,2,12310026,1774234
"4650502",4650502,2,12489066,1629654
"5108010",5108010,2,12310026,1292111
"7496794",7496794,2,12671106,626097
"1171587",1171587,2,12671106,592085
"3773228",3773228,2,12671106,1136585
"3177698",3177698,2,12671106,18789
"862459",862459,2,12692946,1214637
"2140418",2140418,2,12671106,1297206
"4425770",4425770,2,12692946,1525149
"1023544",1023544,2,12692946,1629045
"3074437",3074437,2,12671106,353331
"1885169",1885169,2,12671106,562918
"530445",530445,2,12671106,699209
"3641066",3641066,2,12671106,1268759
"7069196",7069196,2,12692946,1851658
"5154685",5154685,2,12578706,1199011
"6319593",6319593,2,12310026,565260
"3277944",3277944,2,12310026,1677368
"1027311",1027311,2,12310026,1107582
"5659146",5659146,2,12692946,433049
"579822",579822,2,12310026,1202800
"5610965",5610965,2,12310026,1407330
"4484896",4484896,2,12310026,1129955
"5660043",5660043,2,12692946,1143623
"267466",267466,2,12671106,1479226
"1191965",1191965,2,12489066,1860679
"59279",59279,2,12671106,621156
"6660401",6660401,2,12671106,545005
"3118132",3118132,2,12671106,1375140
"2697340",2697340,2,12671106,344798
"5796692",5796692,2,12578706,715196
"3755894",3755894,2,12671106,1683665
"2263308",2263308,2,12671106,851697
"941881",941881,2,12692946,1703904
"5316018",5316018,2,12692946,42113
"6989328",6989328,2,12671106,1444463
"97911",97911,2,12671106,706579
"3679000",3679000,2,12671106,301001
"2956045",2956045,2,12671106,416479
"3851321",3851321,2,12489066,153904
"5911087",5911087,2,12671106,168711
"2611412",2611412,2,12310026,1387953
"7132547",7132547,2,12692946,176315
"2836722",2836722,2,12310026,573753
"5605131",5605131,2,12489066,848430
"136790",136790,2,12578706,1124041
"6727392",6727392,2,12692946,1698257
"4531236",4531236,2,12692946,876925
"3236694",3236694,2,12671106,267804
"250485",250485,2,12671106,876593
"6780773",6780773,2,12692946,508530
"3294343",3294343,2,12310026,912197
"2746479",2746479,2,12692946,1067880
"1997636",1997636,2,12671106,154380
"2535729",2535729,2,12692946,392450
"2353944",2353944,2,12671106,1432800
"342154",342154,2,12671106,1106889
"4767673",4767673,2,12671106,1803612
"6515457",6515457,2,12692946,1092242
"2181316",2181316,2,12671106,160743
"3407147",3407147,2,12692946,54833
"516115",516115,2,12310026,1475073
"7535380",7535380,2,12671106,761258
"7676597",7676597,2,12310026,1487260
"5527324",5527324,2,12692946,678739
"978306",978306,2,12578706,1472835
"2356364",2356364,2,12671106,891235
"6030021",6030021,2,12671106,1214702
"1205143",1205143,2,12671106,804194
"378223",378223,2,12671106,1254418
"5478503",5478503,2,12671106,326389
"7093959",7093959,2,12310026,769793
"6817956",6817956,2,12671106,906656
"1176537",1176537,2,12671106,199659
"2334479",2334479,2,12671106,944014
"6052037",6052037,2,12671106,1312150
"4853093",4853093,2,12671106,1417922
"6310869",6310869,2,12310026,1766122
"5828105",5828105,2,12671106,205158
"148150",148150,2,12578706,1768331
"6140714",6140714,2,12578706,1540414
"5530948",5530948,2,12671106,1217815
"43526",43526,2,12671106,518657
"607459",607459,2,12310026,1349631
"972646",972646,2,12692946,1222412
"1633335",1633335,2,12489066,1046651
"2853658",2853658,2,12489066,445026
"4213022",4213022,2,12310026,522907
"5189908",5189908,2,12671106,1181365
"1208582",1208582,2,12671106,333735
"988920",988920,2,12578706,911395
"270083",270083,2,12671106,84185
"5948869",5948869,2,12671106,1527254
"995208",995208,2,12692946,754185
"3850333",3850333,2,12671106,1227029
"271029",271029,2,12671106,1531522
"6664515",6664515,2,12671106,1479847
"1622262",1622262,2,12310026,949095
"4632750",4632750,2,12692946,383540
"242444",242444,2,12671106,1468808
"4631928",4631928,2,12310026,1613748
"2271830",2271830,2,12671106,1238726
"7259946",7259946,2,12578706,1844676
"6890021",6890021,2,12310026,359144
"2534828",2534828,2,12489066,1840031
"742392",742392,2,12671106,533363
"6580308",6580308,2,12692946,245777
"4242212",4242212,2,12692946,1384154
"3983495",3983495,2,12671106,1242159
"4444640",4444640,2,12692946,1519468
"6951026",6951026,2,12671106,402033
"5684748",5684748,2,12310026,1803836
"1732274",1732274,2,12671106,1256369
"4973020",4973020,2,12692946,1437915
"793467",793467,2,12692946,239121
"3598065",3598065,2,12671106,1854129
"6082124",6082124,2,12578706,1231348
"3695180",3695180,2,12671106,1543570
"3371934",3371934,2,12671106,1538642
"5411407",5411407,2,12578706,1677067
"3107667",3107667,2,12671106,1358943
"6999189",6999189,2,12671106,217267
"538840",538840,2,12671106,697024
"7759938",7759938,2,12671106,1058864
"4205285",4205285,2,12692946,1457329
"7415556",7415556,2,12310026,1301746
"3745937",3745937,2,12671106,630363
"2509487",2509487,2,12671106,173443
"616908",616908,2,12692946,1663463
"342079",342079,2,12671106,469683
"4764275",4764275,2,12671106,1427537
"7543724",7543724,2,12671106,355577
"3815878",3815878,2,12310026,1698062
"357002",357002,2,12692946,859566
"3253694",3253694,2,12671106,1105916
"6807877",6807877,2,12578706,135424
"3989325",3989325,2,12671106,426951
"2519766",2519766,2,12671106,1625935
"1223840",1223840,2,12310026,1738479
"4361703",4361703,2,12578706,945991
"4728539",4728539,2,12489066,361328
"911627",911627,2,12489066,822356
"671893",671893,2,12671106,355261
"556329",556329,2,12671106,1464853
